Unnamed: 0,"Zenith, degree","Elevation, degree","Azimuth, degree","Airmass Relative, ad","Airmass Absolute, ad","Extraterrestrial Radiation, W/m2","POA, W/m2","Tmod, C","Pdc, W","Pac, W","Daily Energy, Wh","Weekly Energy, Wh","Monthly Energy, Wh"
2023-04-04 00:00:00-05:00,,,,,,,,,,,559466270.9,,
2023-04-04 05:00:00-05:00,103.22,-13.22,81.75,,,1361.14,0.0,34.68,0.0,0.0,,,
2023-04-04 05:10:00-05:00,100.78,-10.78,82.25,,,1361.13,0.0,35.14,0.0,0.0,,,
2023-04-04 05:20:00-05:00,98.33,-8.33,82.72,,,1361.13,0.0,35.35,0.0,0.0,,,
2023-04-04 05:30:00-05:00,95.89,-5.89,83.18,,,1361.12,0.0,35.23,0.0,0.0,,,
2023-04-04 05:40:00-05:00,93.44,-3.44,83.63,,,1361.12,0.0,35.67,0.0,0.0,,,
2023-04-04 05:50:00-05:00,90.99,-0.99,84.06,,,1361.11,0.0,35.79,0.0,0.0,,,
2023-04-04 06:00:00-05:00,88.54,1.46,84.48,20.66,20.54,1361.1,23.34,36.76,9692.02,1147343.73,,,
2023-04-04 06:10:00-05:00,86.08,3.92,84.9,12.06,11.98,1361.1,51.76,38.87,22250.84,3540664.43,,,
2023-04-04 06:20:00-05:00,83.63,6.37,85.3,8.24,8.2,1361.09,87.44,40.11,38422.97,6677736.78,,,
2023-04-04 06:30:00-05:00,81.17,8.83,85.7,6.2,6.17,1361.09,125.52,40.64,56023.26,10112206.38,,,
2023-04-04 06:40:00-05:00,78.71,11.29,86.09,4.96,4.93,1361.08,167.34,41.84,75252.02,13890814.6,,,
2023-04-04 06:50:00-05:00,76.25,13.75,86.48,4.12,4.1,1361.08,210.96,43.93,94832.33,17760668.35,,,
2023-04-04 07:00:00-05:00,73.79,16.21,86.86,3.53,3.51,1361.07,255.63,45.88,114696.55,21690597.41,,,
