Unnamed: 0,"Zenith, degree","Elevation, degree","Azimuth, degree","Airmass Relative, ad","Airmass Absolute, ad","Extraterrestrial Radiation, W/m2","POA, W/m2","Tmod, C","Pdc, W","Pac, W","Daily Energy, Wh","Weekly Energy, Wh","Monthly Energy, Wh"
2023-02-04 00:00:00-05:00,,,,,,,,,,,5319243.71,,
2023-02-04 05:00:00-05:00,109.09,-19.09,103.93,,,1400.71,0.0,35.85,0.0,0.0,,,
2023-02-04 05:10:00-05:00,106.7,-16.7,104.16,,,1400.71,0.0,35.37,0.0,0.0,,,
2023-02-04 05:20:00-05:00,104.32,-14.32,104.41,,,1400.71,0.0,36.45,0.0,0.0,,,
2023-02-04 05:30:00-05:00,101.93,-11.93,104.69,,,1400.7,0.0,36.58,0.0,0.0,,,
2023-02-04 05:40:00-05:00,99.55,-9.55,104.99,,,1400.7,0.0,36.77,0.0,0.0,,,
2023-02-04 05:50:00-05:00,97.17,-7.17,105.32,,,1400.7,0.0,36.45,0.0,0.0,,,
2023-02-04 06:00:00-05:00,94.8,-4.8,105.67,,,1400.69,0.0,36.58,0.0,0.0,,,
2023-02-04 06:10:00-05:00,92.43,-2.43,106.06,,,1400.69,0.0,36.73,0.0,0.0,,,
2023-02-04 06:20:00-05:00,90.06,-0.06,106.46,32.24,32.05,1400.69,17.68,38.08,7162.98,0.0,,,
2023-02-04 06:30:00-05:00,87.7,2.3,106.9,16.82,16.72,1400.69,73.03,40.07,31791.89,53929.41,,,
2023-02-04 06:40:00-05:00,85.35,4.65,107.37,10.62,10.56,1400.68,170.97,42.9,76545.65,141588.75,,,
2023-02-04 06:50:00-05:00,83.0,7.0,107.87,7.61,7.57,1400.68,189.41,44.98,84291.8,157062.5,,,
2023-02-04 07:00:00-05:00,80.66,9.34,108.4,5.9,5.86,1400.68,246.75,46.68,110104.88,207986.43,,,
2023-02-04 07:10:00-05:00,78.33,11.67,108.97,4.8,4.77,1400.67,314.98,48.66,140472.1,267997.48,,,
2023-02-04 07:20:00-05:00,76.0,14.0,109.58,4.05,4.03,1400.67,359.73,51.43,158930.42,304718.4,,,
