Unnamed: 0,"Zenith, degree","Elevation, degree","Azimuth, degree","Airmass Relative, ad","Airmass Absolute, ad","Extraterrestrial Radiation, W/m2","POA, W/m2","Tmod, C","Pdc, W","Pac, W","Daily Energy, Wh","Weekly Energy, Wh","Monthly Energy, Wh"
2023-04-01 00:00:00-05:00,,,,,,,,,,,5218107.3,,
2023-04-01 05:00:00-05:00,103.66,-13.66,82.87,,,1363.45,0.0,22.38,0.0,0.0,,,
2023-04-01 05:10:00-05:00,101.21,-11.21,83.35,,,1363.45,0.0,22.29,0.0,0.0,,,
2023-04-01 05:20:00-05:00,98.76,-8.76,83.83,,,1363.44,0.0,22.22,0.0,0.0,,,
2023-04-01 05:30:00-05:00,96.31,-6.31,84.28,,,1363.44,0.0,22.18,0.0,0.0,,,
2023-04-01 05:40:00-05:00,93.86,-3.86,84.73,,,1363.43,0.0,22.07,0.0,0.0,,,
2023-04-01 05:50:00-05:00,91.41,-1.41,85.16,,,1363.43,0.0,22.03,0.0,0.0,,,
2023-04-01 06:00:00-05:00,88.95,1.05,85.58,23.1,22.96,1363.42,30.26,22.95,13773.44,16994.3,,,
2023-04-01 06:10:00-05:00,86.49,3.51,86.0,13.01,12.93,1363.42,51.04,23.61,23771.68,36103.32,,,
2023-04-01 06:20:00-05:00,84.03,5.97,86.41,8.71,8.66,1363.41,69.35,24.21,32683.91,53376.66,,,
2023-04-01 06:30:00-05:00,81.57,8.43,86.81,6.47,6.43,1363.41,90.06,24.99,42802.01,73131.27,,,
2023-04-01 06:40:00-05:00,79.11,10.89,87.21,5.12,5.09,1363.4,114.1,26.0,54535.28,96155.85,,,
2023-04-01 06:50:00-05:00,76.65,13.35,87.61,4.24,4.21,1363.39,141.14,27.37,67638.61,121980.01,,,
2023-04-01 07:00:00-05:00,74.19,15.81,88.01,3.61,3.59,1363.39,170.85,28.83,81957.32,150254.85,,,
2023-04-01 07:10:00-05:00,71.72,18.28,88.41,3.15,3.13,1363.38,202.87,30.17,97361.5,180690.17,,,
