Unnamed: 0,"Zenith, degree","Elevation, degree","Azimuth, degree","Airmass Relative, ad","Airmass Absolute, ad","Extraterrestrial Radiation, W/m2","POA, W/m2","Tmod, C","Pdc, W","Pac, W","Daily Energy, Wh","Weekly Energy, Wh","Monthly Energy, Wh"
2023-04-01 00:00:00-05:00,,,,,,,,,,,559051655.55,,
2023-04-01 05:00:00-05:00,103.66,-13.66,82.87,,,1363.45,0.0,22.38,0.0,0.0,,,
2023-04-01 05:10:00-05:00,101.21,-11.21,83.35,,,1363.45,0.0,22.29,0.0,0.0,,,
2023-04-01 05:20:00-05:00,98.76,-8.76,83.83,,,1363.44,0.0,22.22,0.0,0.0,,,
2023-04-01 05:30:00-05:00,96.31,-6.31,84.28,,,1363.44,0.0,22.18,0.0,0.0,,,
2023-04-01 05:40:00-05:00,93.86,-3.86,84.73,,,1363.43,0.0,22.07,0.0,0.0,,,
2023-04-01 05:50:00-05:00,91.41,-1.41,85.16,,,1363.43,0.0,22.03,0.0,0.0,,,
2023-04-01 06:00:00-05:00,88.95,1.05,85.58,23.1,22.96,1363.42,17.9,22.56,7941.87,617710.55,,,
2023-04-01 06:10:00-05:00,86.49,3.51,86.0,13.01,12.93,1363.42,35.25,23.11,16155.64,2150713.12,,,
2023-04-01 06:20:00-05:00,84.03,5.97,86.41,8.71,8.66,1363.41,74.9,24.38,35395.86,5865588.1,,,
2023-04-01 06:30:00-05:00,81.57,8.43,86.81,6.47,6.43,1363.41,121.49,25.97,58238.51,10338794.3,,,
2023-04-01 06:40:00-05:00,79.11,10.89,87.21,5.12,5.09,1363.4,166.06,27.63,80023.13,14629283.29,,,
2023-04-01 06:50:00-05:00,76.65,13.35,87.61,4.24,4.21,1363.39,202.43,29.29,97542.45,18092434.88,,,
2023-04-01 07:00:00-05:00,74.19,15.81,88.01,3.61,3.59,1363.39,242.04,31.05,116437.85,21832398.2,,,
2023-04-01 07:10:00-05:00,71.72,18.28,88.41,3.15,3.13,1363.38,269.28,32.24,129303.7,24380986.97,,,
2023-04-01 07:20:00-05:00,69.26,20.74,88.81,2.8,2.78,1363.38,303.67,33.66,145427.91,27575996.49,,,
2023-04-01 07:30:00-05:00,66.79,23.21,89.21,2.52,2.51,1363.37,339.86,35.61,161855.05,30839424.4,,,
2023-04-01 07:40:00-05:00,64.33,25.67,89.63,2.3,2.28,1363.37,373.76,37.5,176918.18,33834469.86,,,
2023-04-01 07:50:00-05:00,61.87,28.13,90.04,2.11,2.1,1363.36,418.06,39.52,196606.62,37744514.94,,,
2023-04-01 08:00:00-05:00,59.4,30.6,90.47,1.96,1.95,1363.36,506.85,42.91,235597.74,45483956.33,,,
2023-04-01 08:10:00-05:00,56.94,33.06,90.91,1.83,1.82,1363.35,534.34,44.27,247023.55,47757325.65,,,
2023-04-01 08:20:00-05:00,54.47,35.53,91.37,1.72,1.71,1363.35,541.05,45.02,249289.09,48214212.55,,,
2023-04-01 08:30:00-05:00,52.01,37.99,91.84,1.62,1.61,1363.34,460.01,42.88,213413.47,41104567.42,,,
2023-04-01 08:40:00-05:00,49.55,40.45,92.34,1.54,1.53,1363.34,500.74,44.43,231021.18,44599970.05,,,
2023-04-01 08:50:00-05:00,47.08,42.92,92.86,1.47,1.46,1363.33,563.58,46.86,257565.86,49872045.2,,,
2023-04-01 09:00:00-05:00,44.62,45.38,93.41,1.4,1.39,1363.33,578.13,47.72,263225.72,51000686.85,,,
2023-04-01 09:10:00-05:00,42.16,47.84,94.0,1.35,1.34,1363.32,603.59,49.05,273226.31,52992565.25,,,
2023-04-01 09:20:00-05:00,39.71,50.29,94.64,1.3,1.29,1363.31,715.28,52.85,318378.09,61960039.69,,,
2023-04-01 09:30:00-05:00,37.25,52.75,95.33,1.26,1.25,1363.31,803.3,55.85,352424.45,68725248.09,,,
2023-04-01 09:40:00-05:00,34.8,55.2,96.09,1.22,1.21,1363.3,836.81,57.38,364318.77,71094727.57,,,
2023-04-01 09:50:00-05:00,32.35,57.65,96.93,1.18,1.18,1363.3,818.99,56.92,357393.66,69720335.53,,,
2023-04-01 10:00:00-05:00,29.91,60.09,97.87,1.15,1.15,1363.29,760.44,55.64,333948.99,65071094.69,,,
2023-04-01 10:10:00-05:00,27.47,62.53,98.95,1.13,1.12,1363.29,780.99,56.9,340858.04,66451729.61,,,
2023-04-01 10:20:00-05:00,25.04,64.96,100.2,1.1,1.1,1363.28,823.04,58.52,356299.86,69523274.11,,,
2023-04-01 10:30:00-05:00,22.62,67.38,101.68,1.08,1.08,1363.28,910.76,61.51,388157.27,75856357.6,,,
2023-04-01 10:40:00-05:00,20.21,69.79,103.47,1.07,1.06,1363.27,923.19,61.99,392456.96,76711992.0,,,
