Unnamed: 0,"Zenith, degree","Elevation, degree","Azimuth, degree","Airmass Relative, ad","Airmass Absolute, ad","Extraterrestrial Radiation, W/m2","POA, W/m2","Tmod, C","Pdc, W","Pac, W","Daily Energy, Wh","Weekly Energy, Wh","Monthly Energy, Wh"
2023-04-01 00:00:00-05:00,,,,,,,,,,,5590516.56,,
2023-04-01 05:00:00-05:00,103.66,-13.66,82.87,,,1363.45,0.0,22.38,0.0,0.0,,,
2023-04-01 05:10:00-05:00,101.21,-11.21,83.35,,,1363.45,0.0,22.29,0.0,0.0,,,
2023-04-01 05:20:00-05:00,98.76,-8.76,83.83,,,1363.44,0.0,22.22,0.0,0.0,,,
2023-04-01 05:30:00-05:00,96.31,-6.31,84.28,,,1363.44,0.0,22.18,0.0,0.0,,,
2023-04-01 05:40:00-05:00,93.86,-3.86,84.73,,,1363.43,0.0,22.07,0.0,0.0,,,
2023-04-01 05:50:00-05:00,91.41,-1.41,85.16,,,1363.43,0.0,22.03,0.0,0.0,,,
2023-04-01 06:00:00-05:00,88.95,1.05,85.58,23.1,22.96,1363.42,17.9,22.56,7941.87,6177.11,,,
2023-04-01 06:10:00-05:00,86.49,3.51,86.0,13.01,12.93,1363.42,35.25,23.11,16155.64,21507.13,,,
2023-04-01 06:20:00-05:00,84.03,5.97,86.41,8.71,8.66,1363.41,74.9,24.38,35395.86,58655.88,,,
2023-04-01 06:30:00-05:00,81.57,8.43,86.81,6.47,6.43,1363.41,121.49,25.97,58238.51,103387.94,,,
2023-04-01 06:40:00-05:00,79.11,10.89,87.21,5.12,5.09,1363.4,166.06,27.63,80023.13,146292.83,,,
2023-04-01 06:50:00-05:00,76.65,13.35,87.61,4.24,4.21,1363.39,202.43,29.29,97542.45,180924.35,,,
2023-04-01 07:00:00-05:00,74.19,15.81,88.01,3.61,3.59,1363.39,242.04,31.05,116437.85,218323.98,,,
2023-04-01 07:10:00-05:00,71.72,18.28,88.41,3.15,3.13,1363.38,269.28,32.24,129303.7,243809.87,,,
2023-04-01 07:20:00-05:00,69.26,20.74,88.81,2.8,2.78,1363.38,303.67,33.66,145427.91,275759.96,,,
2023-04-01 07:30:00-05:00,66.79,23.21,89.21,2.52,2.51,1363.37,339.86,35.61,161855.05,308394.24,,,
2023-04-01 07:40:00-05:00,64.33,25.67,89.63,2.3,2.28,1363.37,373.76,37.5,176918.18,338344.7,,,
2023-04-01 07:50:00-05:00,61.87,28.13,90.04,2.11,2.1,1363.36,418.06,39.52,196606.62,377445.15,,,
2023-04-01 08:00:00-05:00,59.4,30.6,90.47,1.96,1.95,1363.36,506.85,42.91,235597.74,454839.56,,,
2023-04-01 08:10:00-05:00,56.94,33.06,90.91,1.83,1.82,1363.35,534.34,44.27,247023.55,477573.26,,,
2023-04-01 08:20:00-05:00,54.47,35.53,91.37,1.72,1.71,1363.35,541.05,45.02,249289.09,482142.13,,,
2023-04-01 08:30:00-05:00,52.01,37.99,91.84,1.62,1.61,1363.34,460.01,42.88,213413.47,411045.67,,,
2023-04-01 08:40:00-05:00,49.55,40.45,92.34,1.54,1.53,1363.34,500.74,44.43,231021.18,445999.7,,,
2023-04-01 08:50:00-05:00,47.08,42.92,92.86,1.47,1.46,1363.33,563.58,46.86,257565.86,498720.45,,,
2023-04-01 09:00:00-05:00,44.62,45.38,93.41,1.4,1.39,1363.33,578.13,47.72,263225.72,510006.87,,,
2023-04-01 09:10:00-05:00,42.16,47.84,94.0,1.35,1.34,1363.32,603.59,49.05,273226.31,529925.65,,,
2023-04-01 09:20:00-05:00,39.71,50.29,94.64,1.3,1.29,1363.31,715.28,52.85,318378.09,619600.4,,,
2023-04-01 09:30:00-05:00,37.25,52.75,95.33,1.26,1.25,1363.31,803.3,55.85,352424.45,687252.48,,,
2023-04-01 09:40:00-05:00,34.8,55.2,96.09,1.22,1.21,1363.3,836.81,57.38,364318.77,710947.28,,,
2023-04-01 09:50:00-05:00,32.35,57.65,96.93,1.18,1.18,1363.3,818.99,56.92,357393.66,697203.36,,,
2023-04-01 10:00:00-05:00,29.91,60.09,97.87,1.15,1.15,1363.29,760.44,55.64,333948.99,650710.95,,,
2023-04-01 10:10:00-05:00,27.47,62.53,98.95,1.13,1.12,1363.29,780.99,56.9,340858.04,664517.3,,,
2023-04-01 10:20:00-05:00,25.04,64.96,100.2,1.1,1.1,1363.28,823.04,58.52,356299.86,695232.74,,,
2023-04-01 10:30:00-05:00,22.62,67.38,101.68,1.08,1.08,1363.28,910.76,61.51,388157.27,758563.58,,,
2023-04-01 10:40:00-05:00,20.21,69.79,103.47,1.07,1.06,1363.27,923.19,61.99,392456.96,767119.92,,,
2023-04-01 10:50:00-05:00,17.82,72.18,105.69,1.05,1.04,1363.27,938.66,62.49,397949.22,778037.16,,,
2023-04-01 11:00:00-05:00,15.47,74.53,108.53,1.04,1.03,1363.26,1014.9,65.0,424308.96,830448.84,,,
2023-04-01 11:10:00-05:00,13.16,76.84,112.32,1.03,1.02,1363.26,1011.47,65.2,422447.76,826792.44,,,
2023-04-01 11:20:00-05:00,10.92,79.08,117.61,1.02,1.01,1363.25,995.5,65.01,416288.67,814592.13,,,
2023-04-01 11:30:00-05:00,8.81,81.19,125.43,1.01,1.01,1363.25,977.98,64.66,409807.67,801737.25,,,
2023-04-01 11:40:00-05:00,6.96,83.04,137.67,1.01,1.0,1363.24,987.44,66.13,410568.57,803412.68,,,
2023-04-01 11:50:00-05:00,5.61,84.39,157.02,1.0,1.0,1363.23,988.33,67.82,407304.73,797156.96,,,
2023-04-01 12:00:00-05:00,5.17,84.83,183.4,1.0,1.0,1363.23,915.64,66.25,380761.65,744504.11,,,
2023-04-01 12:10:00-05:00,5.87,84.13,208.54,1.0,1.0,1363.22,915.96,66.96,379485.58,742065.12,,,
2023-04-01 12:20:00-05:00,7.37,82.63,225.95,1.01,1.0,1363.22,1012.4,70.04,412188.29,807069.83,,,
2023-04-01 12:30:00-05:00,9.3,80.7,236.89,1.01,1.01,1363.21,1007.14,69.32,411649.34,805921.0,,,
2023-04-01 12:40:00-05:00,11.45,78.55,243.98,1.02,1.01,1363.21,984.0,68.08,404970.37,792573.21,,,
2023-04-01 12:50:00-05:00,13.71,76.29,248.84,1.03,1.02,1363.2,972.55,69.23,397892.57,778715.44,,,
2023-04-01 13:00:00-05:00,16.03,73.97,252.35,1.04,1.03,1363.2,960.94,69.03,393610.23,770227.42,,,
2023-04-01 13:10:00-05:00,18.4,71.6,255.02,1.05,1.05,1363.19,758.16,63.4,320063.38,624216.44,,,
2023-04-01 13:20:00-05:00,20.79,69.21,257.12,1.07,1.06,1363.19,873.8,67.58,360935.08,705475.71,,,
2023-04-01 13:30:00-05:00,23.2,66.8,258.83,1.09,1.08,1363.18,714.45,62.61,302739.92,589898.67,,,
2023-04-01 13:40:00-05:00,25.62,64.38,260.24,1.11,1.1,1363.18,795.72,66.18,331134.72,646425.04,,,
2023-04-01 13:50:00-05:00,28.05,61.95,261.45,1.13,1.13,1363.17,782.23,66.03,325754.88,635778.81,,,
2023-04-01 14:00:00-05:00,30.49,59.51,262.49,1.16,1.15,1363.17,785.28,66.38,326429.02,637152.55,,,
2023-04-01 14:10:00-05:00,32.94,57.06,263.41,1.19,1.18,1363.16,756.41,65.52,315800.06,616051.66,,,
2023-04-01 14:20:00-05:00,35.39,54.61,264.24,1.23,1.22,1363.15,729.12,64.65,305730.21,596054.86,,,
2023-04-01 14:30:00-05:00,37.84,52.16,264.98,1.26,1.26,1363.15,702.78,63.71,296044.54,576809.69,,,
2023-04-01 14:40:00-05:00,40.3,49.7,265.65,1.31,1.3,1363.14,633.49,60.69,270735.85,526458.5,,,
2023-04-01 14:50:00-05:00,42.75,47.25,266.28,1.36,1.35,1363.14,504.72,54.77,221373.88,428278.93,,,
2023-04-01 15:00:00-05:00,45.21,44.79,266.86,1.42,1.41,1363.13,338.96,49.21,151142.71,289084.2,,,
2023-04-01 15:10:00-05:00,47.67,42.33,267.41,1.48,1.47,1363.13,417.38,51.07,185587.84,357214.02,,,
2023-04-01 15:20:00-05:00,50.13,39.87,267.92,1.56,1.55,1363.12,461.19,51.15,205536.96,396569.85,,,
